Identifiant;Active (0/1);Nom;Catégorie parente;Catégorie racine (0/1);Description;Balise de titre;Méta mots-clés;Méta description;URL simplifiée;URL de l'image;ID ou nom de la boutique
54;1;Gourmandes;716;0;<p>Au parfum irrésistible, nos <strong>bougies gourmandes</strong> vous font vivre de purs moments de caprices. Craquez pour les délicieuses senteurs de vanille, chocolat, caramel, biscuit, macaron ou bonbon… Régalez-vous, nos <strong>bougies parfumées</strong> se dégustent à tout moment de la journée !</p>;Bougies parfumées senteur gourmande;Bougies parfumées senteur gourmande;Bougie senteur vanille, chocolat, caramel, biscuit ou macaron. Craquez pour le parfum irrésistible de nos bougies parfumées gourmandes, Bougies la Française.;bougies-gourmandes;;1
55;1;Florales;716;0;<p>Aériennes, délicates, fraîches, sensuelles ou poudrées, nos <strong>bougies florales</strong> libèrent une fragrance terriblement féminine. Entre les senteurs de rose, lavande, violette, pivoine ou fleurs d’oranger, nos <strong>bougies parfumées</strong> vous invitent dans une mélodie florale au cœur de pétales…</p>;Bougies parfumées senteur florale;Bougies parfumées senteur florale;Bougie senteur rose, lys ou pivoine… Un parfum floral s’installe. Découvrez toutes nos senteurs féminines avec les bougies parfumées florales, Bougies la Française.;bougies-florales;;1
56;1;Boisées;716;0;<p>Qu’elles soient de cèdre, de santal ou de patchouli, nos <strong>bougies boisées</strong> construisent leurs accords autour de bois nobles et précieux. Aux senteurs intenses, nos <strong>bougies parfumées</strong> puisent leur force dans la nature et laissent planer une atmosphère empreinte d’élégance.</p>;Bougies parfumées senteur boisée;Bougies parfumées senteur boisée;Une bougie senteur patchouli, cèdre ou santal pour une ambiance élégante. Découvrez toute l’intensité des bougies parfumées boisées, Bougies la Française.;bougies-boisees;;1
57;1;Orientales;716;0;<p>Drapées de reflets dorés, nos <strong>bougies orientales</strong> vous plongent dans un voyage olfactif à travers les continents. Posées sur un fond d’ambre, de bois précieux, de musc ou de vanille la fragrance de nos <strong>bougies parfumées</strong> s’enrichit de volupté.</p>;Bougies parfumées senteur orientale;Bougies parfumées senteur orientale;Une senteur subtilement ambrée, boisée et vanillée pour une ambiance de volupté. bougies-la-francaise.com vous propose une sélection de bougies parfumées orientales.;bougies-orientales;;1
58;1;Régressives;716;0;<p>Et si l’une de nos <strong>bougies parfumées</strong> était votre petite madeleine ? Dotées des senteurs emblématiques de votre enfance, nos bougies régressives remontent dans votre passé pour réveiller un souvenir égaré. A travers les parfums de bonbon, savon ou colle, trouvez la bougie qui vous ressemble !</p>;Bougies parfumées senteur régressive;Bougies parfumées senteur régressive;Une bougie originale aux senteurs traditionnelles ou gourmandes. Nos bougies parfumées régressives remontent dans votre passé en dévoilant un doux parfum d’antan.;bougies-regressives;;1
59;1;Fruitées;716;0;<p>Des <strong>bougies fruitées</strong>… A croquer ! Avec nos bougies figue, mûre, fruits rouges ou rhubarbe, profitez de vos fruits préférés tout au long de l’année. Sucrées, juteuses, fraîches ou acidulées… Et terriblement gourmandes, nos <strong>bougies parfumées</strong> diffuseront de belles notes de gaieté.</p>;Bougies parfumées senteur fruitée;Bougies parfumées senteur fruitée;Vous recherchez une bougie senteur figue, mûre, fruits rouges ou rhubarbe ? Découvrez toutes nos bougies parfumées fruitées sur bougies-la-francaise.com.;bougies-fruitees;;1
60;1;Hespéridées;716;0;<p>Profitez d’un cocktail vitaminé avec nos <strong>bougies hespéridées</strong> ! Bergamote, citron, orange et mandarine s’unissent dans un accord solaire et pétillant. Parsemées de zestes d’agrumes, les <strong>senteurs hespéridées</strong> de nos bougies sèmeront de belles notes de fraîcheur dans votre intérieur.</p>;Bougies parfumées senteur hespéridée;Bougies parfumées senteur hespéridée;Bougies la Française vous propose une sélection de bougies parfumées hespéridées haut de gamme. Orange, citron ou bergamote ? Les agrumes parfument votre intérieur.;bougies-hesperidees;;1
61;1;Epicées;716;0;<p>Sur la route des épices, poivre, clous de girofle, cardamome et cannelle ont été sélectionnés avec soin et agrémentent nos plus belles fragrances. Dans un jeu de contrastes, nos <strong>bougies épicées</strong> se parent de facettes olfactives uniques pour vous offrir un parfum de caractère.</p>;Bougies parfumées senteur épicée;Bougies parfumées senteur épicée;Nos bougies parfumées épicées s’agrémentent de poivre, clous de girofles et cannelle. Découvrez tous nos parfums de caractère signés Bougies la Française.;bougies-epicees;;1
62;1;Tendances;716;0;<p>Fragrances mutines, senteurs espiègles… Les <strong>bougies parfumées Rendez-vous à Paris</strong> donnent le ton. Senteurs coquines pour des notes qui pétillent, ou tout en gourmandises… Suivez les « Miss » pour une balade olfactive dans le Paris des parisiennes !</p>;Bougies parfumées tendances;Bougies parfumées tendances;A la pointe de la mode, les bougies parfumées Rendez-vous à Paris s’habillent de senteurs qui pétillent. Découvrez les bougies glamour, signées Bougies la française.;bougies-tendances;;1
63;0;Parfums de saison;716;0;<p>Dans la douceur d’un parfum d’hiver, nos <strong>bougies parfumées</strong> révèlent les notes chaleureuses d’un feu de bois, l’odeur aromatique du sapin, l’onctuosité gourmande d’un chocolat chaud... Pour peu que l’on ferme les yeux, notre mémoire olfactive nous replonge dans les souvenirs de nos plus beaux Noëls d’enfant.</p>;Bougies parfumées senteur parfums d’hiver;Bougies parfumées senteur parfums d’hiver;Un feu de bois, un parfum de sapin, une senteur gourmande de chocolat. Redécouvrez nos plus beaux parfums d’hiver avec les bougies parfumées, Bougies la Française.;parfums-de-saison;;1
64;0;Point à la Ligne;716;0;;;;;point-a-la-ligne;;1
715;1;Bougies décoratives;;0;;;;;bougies-decoratives;;1
65;1;Colorama;715;0;<p>Parce que les couleurs égaient nos vies et embellissent nos intérieurs. Nos <strong>bougies colorées</strong> sont le détail déco d’un habitat plein de vitalité ! Des <strong>bougies dragées</strong> pour une touche sucrée, aux <strong>bougies acidulées</strong> pleines de tonicité… Chosissez parmi notre palette et créez une ambiance qui vous ressemble !</p>;Colorama, bougies décoratives;Colorama, bougies décoratives;Des bougies couleur dragée aux bougies acidulées, chosissez parmi notre palettede bougies décoratives et créez une ambiance qui vous ressemble !;colorama;;1
